bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
;;;s;;;;;;;;;;;;;?;e;;;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;;;;;;;;;;;;p;;;;?;;;;;p;e
;;;;;n;;;;n;;;;;;;;;s;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
t;y;;;;;;;;a;;;;;;;;;;;;;e
;n;;s;;;b;;;;;;;;;;;;;;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
;;k;;;;b;;;n;;;;;;;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
f;w;;;;;;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;;;;;;;;;;;;?;e;s;;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
;;;;;n;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
;;;;f;n;;;;;;;;;;;;t;;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
t;y;;;;;;;;l;;;;;;;;;;;;;e
;;;;;;b;;;;;;;;;;?;e;;;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;;;;;;;;;;;;;;;;?;e;;s;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;;;;f;n;;;;n;;;;;w;;;;;;;;e
;;x;;;;b;;;;;;;;;;;e;;s;;;e
;;;;f;;;;;;;;;;;;e;t;s;;;;e
;;;;f;k;b;;;;;;;;;;;;;s;;;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
t;;;f;f;w;;;;;;;;;;;;;;;;;e
;;;;f;;b;w;;;;;;;;;;;;s;;;e
;n;;;f;;;;;n;;;;;;w;;;;;;;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;;f;f;w;;;;;;;;;;;;;s;;;;e
;;f;f;f;;;;;;;;;;;;;;;s;;;e
;;f;f;f;;;;;;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;s;;;e
;;x;s;;;b;;;;;;;;;;;e;;;;;e
;;;;f;;;;;;;;;;;;e;t;;f;;;e
;;;;f;;;w;;;;;;;;;;t;;s;;;e
;;;;f;p;;;;n;;;;;;w;;;;;;;e
t;;;f;f;n;;;;;;;;;;;;;;;;;e
;;;;f;p;;;;n;;;;;;;;;;s;;;e
;;;;f;n;b;;;;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;;;;;n;;;;;;;e;;s;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
;;x;;f;p;;;;n;;;;;;;;;;;;;e
;;f;f;f;;;;;;;;;;;;;t;;;;;e
f;;;;f;h;;;;;;;;;;w;;;;;;;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
;n;;;f;;b;;;;;;;;;w;;;;;;;e
t;;;;f;;;;;a;;;;;;;;e;;;;;e
;;;;f;n;;;;n;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;k;b;;;;;;;;;;;;s;;;;e
;;;f;f;p;;;;n;;;;;;;;;;;;;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;n;;;f;;;;;n;;;;;;;b;;;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;f;p;;;;n;;;;;;;;;s;;;;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
;;;;;n;b;c;;;;;;;;;;e;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;;f;f;w;;;;;;;;;;;;;;s;;;e
;;;;f;;b;w;;;;;;;;;;;s;;;;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
t;;;f;f;p;;;;;;;;;;;;;;;;;e
t;y;;;f;;;;;;;;;;;;;e;;;;;e
;;;;f;p;;;;n;;;;;w;;;;;;;;e
;;;;f;;;;;;;;;;;w;?;e;;;;;e
;;f;f;f;;;;;;;;;;;;;;s;;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;;;f;;;w;;;;;;;;;;;f;s;;;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
