bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;;;;;;b;;;;;o;;n;;;;;;;;p;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;;;;;c;;n;;o;;;;;;;s;;;p;e
;;;;;;b;;d;;;;p;;;;;;;;w;p;e
;;;;f;;b;;;n;;;;;;;;t;;s;;;e
;;;;f;;b;;;n;;;;;;;;t;s;;;;e
;;;;;;;c;;n;;o;p;;;;;;;;;p;e
;;;;f;;b;;;;;o;;k;;;;;;;w;p;e
;;;;f;;;c;d;n;;;p;;;;;;;;w;p;e
;;;;f;;;;d;;;o;p;;;;;t;;;w;p;e
f;;;;f;;;c;;;;;;;;;;;k;;;;p
f;;;;;;;c;;;;;;;;;;;k;;w;p;p
f;;;;;;;;;;;o;;;;;;;k;;w;p;p
f;;;;f;;;c;;f;;;;;;;;;;k;;;p
;;;;;;;;;;v;o;;w;;;?;;;;w;p;p
;;;;;;;c;;;v;o;;w;;;;;;;w;p;p
f;;;;f;;;;;;;o;;;;;;;;k;w;p;p
;;;;f;;;c;;f;;o;;;;;;;;;w;p;p
;;;;f;;;;;;v;o;e;;;;;t;;;w;p;p
;;;;f;;n;;;;;o;;w;;;;t;;;w;p;p
;;;;f;;;c;;;;o;;h;;;b;;;;w;p;p
