bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
t;;;f;f;;b;;;;;;;;;;;;;;;;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
;;;;;;;;;n;v;o;p;;;;;;;;;p;e
;;;;;;;;;n;v;o;;;;;;;s;;;p;e
f;;;;f;;;;;n;;;;;w;w;;;;;;;e
;n;;;;;;c;;n;;;p;;;;;;;;;p;e
;;;;;;b;;;;;o;p;;;;;e;;;;p;e
;;;;f;;b;;;n;;;;;;w;;t;;;;;e
;;;;f;;b;;;;;;e;;;;;;;;w;p;e
;;;;f;;b;;;n;;;;;w;;;t;;;;;e
;;;;f;p;;;;n;;;;;;;;;;;w;p;e
;;;;f;;;;g;;;;e;;;;;;;;w;p;e
;;;;;;;;;n;v;o;;;;;;;;s;;p;e
t;n;;;f;;b;c;;;;;;;;;;;;;;;e
;n;;;;;b;c;;;;;p;;;;;;;;;p;e
;;;;;;;c;;n;;o;p;;;;;;;;;p;e
;;;;;;;c;;n;;o;;;;;;;s;;;p;e
;;;;f;;b;;;n;;;;;;;;t;s;;;;e
;;f;;;;;;d;;;;p;;;;;;;;w;p;e
;;;;f;;b;;;n;;;;;;;;t;;s;;;e
;;;;;;b;;d;;;;p;;;;;;;;w;p;e
;;;;f;;;c;;;y;;;;;;;;s;;w;p;e
;;;;f;;;;;n;;;e;;;w;;;;;w;p;e
;;;;f;;;c;;;y;;p;;;;;;;;w;p;e
f;;;;f;;;w;;n;;;;;;;;;;;w;p;e
;;;;f;;;;;n;;o;;k;;;;;;;w;p;e
;;;;f;;;w;;;;o;e;;;;;;;;w;p;e
;;;f;f;;b;;;;;;p;;;;;;;;w;p;e
;;;;f;;;c;;n;y;;;;;;;;;;w;p;e
;;;f;f;;;;;;;o;;;;;;t;;;w;p;e
;;;;f;;b;;;;;o;;k;;;;;;;w;p;e
;;;;f;;;;;;;o;;n;;;;t;;;w;p;e
;;;;f;;;;;;;o;;k;;;;t;;;w;p;e
;;;f;f;;;;;n;;;p;;;;;;;;w;p;e
;;;;f;;;c;d;n;;;p;;;;;;;;w;p;e
;;;;f;;;w;g;;;;;;w;w;;;;;w;p;e
f;;;;f;;b;;g;;;;;;;w;;;;;w;p;e
;;;f;f;;;;;n;;o;;;;;b;;;;w;p;e
;;;;f;;;;;n;v;o;;;;;b;;;;w;p;e
;;;y;f;;;c;d;;;;p;;;;;;;;w;p;e
f;;;;f;;b;;;;;o;;;;w;;;;;w;p;e
;;;;f;;;;d;;;o;p;;;;;t;;;w;p;e
;;;;f;;;w;;;;o;;;w;w;;t;;;w;p;e
;;;y;f;;;c;d;n;;;;;;;;;s;;w;p;e
;;;y;f;;b;c;;;;o;p;;;;;;;;w;p;e
;;;;f;;;;;n;;o;;;w;w;e;;;;w;p;e
t;;;;f;;;;;;;o;p;n;;;b;;s;s;w;p;e
