Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;;;;;;w;;;;;;;;;;f;;;;b;;g
;;;;;;;w;;;;;;;;;f;;;;b;;g
e;;;;;;w;w;;;;;;;;;f;;;w;;;g
;;;;;;w;w;;;;;;;;;f;n;;w;;;g
e;;;b;;;;;;;o;;;;;;;;;c;;;d
;;;;;;;;;w;o;;;;;;;n;;c;b;;d
;;;b;s;s;;;;;;p;f;;;;;;;;;;d
e;;t;;s;s;;;;;;;;;;;;;;c;b;;d
e;;t;;s;s;;;;;;p;;;;;;;;c;;;d
e;;;b;s;s;;;;;o;p;;;;;;;;;;;d
;;;b;s;s;;;;;o;p;;;;;;n;;c;;;d
;;;b;s;s;;;;w;o;p;;n;;;;;f;;;;d
e;;t;;s;s;;;;w;o;p;;;;;;;f;;;;d
