Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;;;;;;;;;;;;;;;p;;;;;;e;w
;;;;;;;e;;;;;;;;;;;;;;e;w
;;;;;;;;;;;;;;;b;;;;;;e;w
;;;;;;e;;;;;;;;;;;;;;;e;w
;;;;;;;e;;;;;;;;p;;;;;;;w
;;;;;;e;e;;;;;;;;;;;;;;;w
;;;;;;;e;;;;;;;;b;;;;;;;w
;;;;;;e;;;;;;;;;b;;;;;;;w
;;;;;;e;;;;;;;;;p;;;;;;;w
;;;;;;;;;;t;;;;c;n;;;;;;;w
;;;;;;;;;;t;;;;c;e;;;;;;;w
;k;;;;;;;;;t;;;;c;;;;;;;;w
;;;;;;;;;;t;;;;c;;;;;;;w;w
;;;?;;;;;;;t;;s;;;b;;;;;;;w
;;;;;;;;;;t;e;y;;;b;;;;;;;w
;;;?;s;;;;;;;e;;;;;;n;;;;;w
;;e;;;;;;;;;;;;;e;t;;;;;w;w
;;;?;;;;;;;;;s;w;c;;;;;;;;w
;;;;;;;;;;;e;s;;;;;;;c;b;;w
;;;;;;;;;;t;e;;w;;p;;;;;;;w
;;;;;;;;;;;e;;w;;e;;;;;b;;w
;;;;;;;;;;t;e;y;w;;n;;;;;;;w
;;;;;;;;;;;e;y;w;c;n;;;;;;;w
;x;e;;;;;;;;;e;;;;;t;n;;;;;w
;;;?;s;;;;;;;;;w;;;;n;;c;;;w
;;;;s;;;;;;;e;;w;;;;n;;c;;;w
;;e;?;;;;;;;;e;;;;;;n;;;b;;w
;;;?;;;;;;w;;;s;;;;;;;c;b;;w
;;;?;;;;;;;;;s;w;;;;;;c;b;;w
;x;e;;;;;;;;;e;s;;;;;n;;;;;w
;x;;?;;;;;;;;e;s;;;;;n;;;;;w
;x;;;;;;;;;;e;s;w;;;;n;;;;;w
;f;;?;;s;;w;;;;;;;;;;n;;;;;w
;;;?;;;w;;;;;;s;;;;;;;c;b;;w
e;;;?;;;w;;;;;e;s;;;;;;;;;;w
e;;;;;;w;;;;;e;s;w;;;;;;;;;w
;;;?;;;;;;;t;;s;w;;n;;;;;;;w
;;;?;;;;;;;t;;s;w;;p;;;;;;;w
;;;;;;w;w;;;;e;y;;;;;n;;;;;w
;;;?;;;;;;;t;e;y;w;;;;;;;;;w
;;;?;;;;;;;;e;y;w;c;;;;;;;;w
;;;;s;;;;;;;e;y;;;;;n;;c;;;w
;;;?;s;s;;;;;;;y;;;;;n;;;;;w
;;;?;;;;;;;t;;s;w;;e;;;;;;;w
;;;;;;w;w;;;;e;;w;;;;n;;;;;w
;;;?;;;w;w;;;;e;;;;;;n;;;;;w
;f;;?;;;;;;;;e;;w;c;;;;;;;;w
;f;;?;;;;;;;t;e;;w;;;;;;;;;w
;;;?;;;;w;;;;;s;;;;;;;c;b;;w
e;;;?;;;;w;;;;e;s;;;;;;;;;;w
e;;;;;;;w;;;;e;s;w;;;;;;;;;w
;;;;;;;;;;;e;y;w;c;e;;;;;;;w
;;;?;;s;;w;;;;;y;;;;;n;;;;;w
e;;;?;;;w;;;;;e;;w;;e;;;;;;;w
;k;;;s;;;;;;;;s;w;;;;;;c;b;;w
;k;;;;s;;;;;;;s;w;;;;;;c;b;;w
;f;;?;s;s;w;;;;;;;;;;;n;;;;;w
e;;e;;;;;w;;;;e;s;;;;;n;;;;;w
;;;?;s;;;;;w;;;;;;n;;n;;c;;;w
e;;e;;;;w;w;;;;e;;;;;;n;;;;;w
e;;e;?;;;w;;;;;e;;;;;;n;;;;;w
;;;?;s;s;w;;;;;;;;;;;n;;c;;;w
e;;e;;;;w;;;;;e;;;;;t;n;;;;;w
e;;e;;;;;;;;t;;;;;b;t;n;;;;;w
e;;e;;;;w;;;;;e;s;;;;;n;;;;;w
e;;;?;;;;w;;;;e;;w;;e;;;;;;;w
;x;e;?;;;;;;;;;;;;;t;n;;;;w;w
;k;e;;s;;;;;;;;;w;;;;n;;c;;;w
;;e;?;;;;;;;;;;w;;;;n;;c;b;;w
;;;?;s;s;;;;w;;;;;;;;n;;c;;;w
;;;;s;s;;;;;;e;s;w;;;;;;;b;;w
;;;?;s;s;;;;;;e;s;;;;;;;;b;;w
;;;?;s;s;;w;;;;;;;;;;n;;c;;;w
e;;e;;;;;w;;;;e;;;;;t;n;;;;;w
e;;e;?;;;;w;;;;e;;;;;;n;;;;;w
e;;e;?;s;;;;;;;;y;;;;;n;;;b;;w
e;;e;?;;;w;;;;;;;;;;t;n;;;;w;w
e;;e;?;;;;w;;;;;;;;;t;n;;;;w;w
e;k;e;;;;w;;;;;;;w;;;t;n;;;;;w
e;k;e;;;;;w;;;;;;w;;;t;n;;;;;w
;x;e;;;;;w;;;;;;w;c;;t;n;;;;;w
;x;e;;;;w;;;;;;;w;c;;t;n;;;;;w
e;;e;;s;s;;;;;;e;;;;;;n;;c;;;w
e;;;;s;s;;;;;;e;;;;;;n;;c;b;;w
;;e;;s;s;;;;;;;;w;c;;;n;;c;;;w
;;e;;;;;;;w;;e;;w;c;;;n;f;;;;w
;;e;;s;;;;;;;;;;;e;;;f;c;b;w;w
;x;e;?;;;;;;;t;;;w;;;t;n;;;;;w
;;e;?;;;;;;w;;;;;;n;;n;;c;b;;w
;;e;;s;;;;;w;;;;;c;n;;;;c;b;;w
e;;e;?;;;w;;;;t;;;w;;;t;n;;;;;w
