bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
t;y;;;;;;;;l;;;;;;;;;;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
;;;;;;;;;;;;;;;;?;e;s;;;;e
;;;;;;;;;;;;p;;;;?;;;;;p;e
;;;;;n;;;;n;;;;;;;;;;s;;;e
;;;;;;b;;;;;;;;;;?;e;;;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
;;k;;;;b;;;n;;;;;;;;;;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;;;s;;;;;;;;;;;;;?;e;;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
;n;;s;;;b;;;;;;;;;;;;;;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
;;;;;n;;;;n;;;;;;;;;s;;;;e
;;;;f;n;;;;;;;;;;;;t;;;;;e
;;;;;;;;;;;;;;;;?;e;;s;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
t;y;;;;;;;;a;;;;;;;;;;;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
f;w;;;;;;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
t;;;f;f;w;;;;;;;;;;;;;;;;;e
;;;;f;p;;;;n;;;;;;;;;;s;;;e
;;f;f;f;;;;;;;;;;;;;t;;;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
;;;f;f;u;;;;;;;;;;;;t;;;;;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
t;;;f;f;n;;;;;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;f;;;e
;;;;f;n;b;;;;;;;;w;;;;;;;;e
;;;f;f;w;;;;;;;;;;;;;s;;;;e
;n;;;f;;b;;;;;;;;w;;;;;;;;e
;;;;f;;;w;;;;;;;;;;;f;f;;;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;;;f;;;;;;;;;;;;e;t;s;;;;e
t;;;;f;;;;;a;;;;;;;;e;;;;;e
;;;;f;p;;;;n;;;;;;;;;s;;;;e
;;;;f;;;w;;;;;;;;;;t;s;;;;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;x;;;;b;;;;;;;;;;;e;;s;;;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
;;x;s;;;b;;;;;;;;;;;e;;;;;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
;;;;f;p;;;;n;;;;;;w;;;;;;;e
;;x;;f;p;;;;n;;;;;;;;;;;;;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
;;;;f;;;w;;;;;;;;;;t;;s;;;e
;;f;f;f;;;;;;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
t;y;;;f;;;;;;;;;;;;;e;;;;;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
;;;;f;;b;w;;;;;;;;;;;;s;;;e
;n;;;f;p;;;;;;;;;;;;t;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
;;f;f;f;;;;;;;;;;;;;;;s;;;e
;;f;f;f;n;;;;;;;;;;;;;;;;;e
;;;;f;n;b;;;;;;;;;w;;;;;;;e
;;;;f;k;b;;;;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
;;;;f;;;w;;;;;;;;;;;f;s;;;e
;;;;f;p;;;;n;;;;;w;;;;;;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
t;;;;f;;;;;l;;;;;;;;e;;;;;e
;;;;f;;b;w;;;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
;;;;f;;;;;;;;;;;;e;;f;s;;;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
;;;f;f;w;;;;;;;;;;;;;;s;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
;n;;;f;;;;;n;;;;;;;b;;;;;;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
t;;;f;f;;b;;;;;;;;;;;;;;;;e
;;;;f;n;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;w;?;e;;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;;f;;;;;;;;;;;;e;t;f;;;;e
;;;;f;p;b;w;;;;;;;;;;;;;;;e
;n;;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;n;;;;;;;e;;;s;;;e
f;;;;f;h;;;;;;;;;;w;;;;;;;e
;;;;;n;b;c;;;;;;;;;;e;;;;;e
;n;;;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;n;;;;n;;;;;w;;;;;;;;e
;;;;f;k;b;;;;;;;;;;;;;s;;;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;s;;;e
t;;;f;f;p;;;;;;;;;;;;;;;;;e
;;;f;f;p;;;;n;;;;;;;;;;;;;e
;;;;f;;;;;;;;;;;;e;;f;f;;;e
;;x;;;;b;;;;;;;;;;;e;s;;;;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;;f;;;;;n;;;;;;;e;;s;;;;e
;;f;f;f;;;;;;;;;;;;;;s;;;;e
