bruises?;cap-color;cap-shape;cap-surface;gill-attachment;gill-color;gill-size;gill-spacing;habitat;odor;population;ring-number;ring-type;spore-print-color;stalk-color-above-ring;stalk-color-below-ring;stalk-root;stalk-shape;stalk-surface-above-ring;stalk-surface-below-ring;veil-color;veil-type;class
;g;;;;;;;;n;;;;;;;;;;;;;e
;;;;;n;b;;;;;;;;;;;;;s;;;e
;;;;;;b;;;;;;;;;;?;e;;;;;e
f;;;;;;;;;n;;;;;;;;;;s;;;e
;n;;;;;;;;n;;;;;;;;;;s;;;e
;n;;;;;;;;n;;;;;;;;;s;;;;e
;n;;;;;b;;;;;;;;;;;;s;;;;e
;;;;;;;;;;;;p;;;;?;;;;;p;e
;;;s;;;;;;;;;;;;;?;e;;;;;e
;;;;;n;;;;n;;;;;;;;;s;;;;e
;;;;f;n;;;;;;;;;;;;t;;;;;e
f;w;;;;;;;;n;;;;;;;;;;;;;e
;;;;;n;b;;;;;;;;;;;;s;;;;e
;;;;;n;;;;n;;;;;;;;;;s;;;e
f;;;;;;;;;n;;;;;;;;;s;;;;e
f;;;s;;;b;;;;;;;;;;;;;;;;e
;n;;s;;;b;;;;;;;;;;;;;;;;e
;;;;;;;;;;;;;;;;?;e;s;;;;e
;n;;;;;b;;;n;;;;;;;;;;;;;e
f;;;;;;b;;;n;;;;;;;;;;;;;e
;;x;;;;;;;n;;;;;;;;;;s;;;e
;;;;;;;;;;;;;;;;?;e;;s;;;e
;n;;;;;b;;;;;;;;;;;;;s;;;e
;;x;;;;;;;n;;;;;;;;;s;;;;e
f;;;;;;b;;;;;;;;;;;;s;;;;e
f;;;;;;b;;;;;;;;;;;;;s;;;e
;;x;;;;b;;;n;;;;;;;;;;;;;e
;;;f;f;;b;;;n;;;;;;;;;;;;;e
;;;f;f;p;;;;n;;;;;;;;;;;;;e
;;x;;f;p;;;;n;;;;;;;;;;;;;e
;n;;;f;;b;;;;;;;;w;;;;;;;;e
;;x;;;;b;;;;;;;;;;;e;s;;;;e
;;;;f;p;;;;n;;;;;;w;;;;;;;e
;;;f;f;;b;;;;;;;;;;;;s;;;;e
;;f;f;f;;;;;;;;;;;w;;;;;;;e
;;x;;f;;;;;n;;;;;;;b;;;;;;e
;;x;;;;;;;n;;;p;;;;;;;;;p;e
;;f;f;f;;;;;;;;;;;;;t;;;;;e
;;x;;;;b;;;;;;;;;;;e;;s;;;e
;;;;f;;;;;n;;;;;;;e;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;s;;;;e
;;f;f;f;;;;;;;;;;;;;;;s;;;e
;;;f;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;;;w;;;;;;;;;;t;;s;;;e
;;;f;f;;;;;n;;;;;;;;;s;;;;e
;;;f;f;;b;;;;;;;;;;;;;s;;;e
;;;;f;n;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;w;?;e;;;;;e
;;f;f;f;;;;;;;;;;;;;;s;;;;e
;n;;;f;;;;;n;;;;;;w;;;;;;;e
;;;;;;;;;n;;o;;n;;;;;;;;p;e
t;;;;f;;;;;l;;;;;;;;e;;;;;e
;;;f;f;;;;;;;;;;;w;;t;;;;;e
;;;;f;;;;;;;;;;;;e;t;;s;;;e
;;;;f;p;;;;n;;;;;w;;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;f;;;;e
;;;;f;n;;;;n;;;;;w;;;;;;;;e
;;;;;n;;;;n;;o;;;;;;;;;;p;e
;;;;;n;b;;;;;;;;;;;;;;w;p;e
;;;;f;;;;;n;;;;;;;e;;;s;;;e
;;;;f;;b;w;;;;;;;;;;;;s;;;e
;;;;f;n;b;;;;;;;;w;;;;;;;;e
;;;;f;n;b;;;;;;;;;w;;;;;;;e
;;;;;;b;;;;;o;;n;;;;;;;;p;e
t;y;;;f;;;;;;;;;;;;;e;;;;;e
;;x;;f;;;;;n;;;;;;w;;;;;;;e
;;;;f;;;;;;;;;;;;e;t;;f;;;e
;n;;;f;;;;;n;;;;;;;b;;;;;;e
;;;;f;p;;;;n;;;;;;;;;s;;;;e
;;;;f;p;;;;n;;;;;;;;;;s;;;e
;;;;f;;b;w;;;;;;;;;;;s;;;;e
;;;f;f;;;;;;;;;;;;;t;;s;;;e
t;;;;f;;;;;a;;;;;;;;e;;;;;e
;;;;;;b;;;n;;o;;;;;;;;;;p;e
;;;;;n;b;;;;;o;;;;;;;;;;p;e
;n;;;;;b;;;;;o;;;;;;;;;;p;e
;;;;f;;;;;;;;;;;;e;t;s;;;;e
;;;f;f;;;;;n;;;;;;w;;;;;;;e
t;;;f;f;;b;;;;;;;;;;;;;;;;e
;;;f;f;;;;;;;;;;w;;;t;;;;;e
;n;;;f;;b;;;;;;;;;w;;;;;;;e
;;;;f;p;b;;;n;;;;;;;;;;;;;e
;;;;f;;;w;;;;;;;;;;t;s;;;;e
;;;f;f;;;;;n;;;;;;;;;;s;;;e
;;;f;f;;b;;;;;;;;w;;;;;;;;e
f;;;;f;;;;;n;;;;;w;w;;;;;;;e
t;n;;;f;;b;c;;;;;;;;;;;;;;;e
;;f;;;;;;d;;;;p;;;;;;;;w;p;e
;;x;y;f;;;;;;;;;;;;b;;;s;;;e
