Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;k;;;;;;;;;t;;;;c;;;;;;;;w
;;;;;;;;;;t;;;;c;;;;;;;w;w
;;;?;s;;;;;;;e;;;;;;n;;;;;w
;;;;;;;;;;;e;s;;;;;;;c;b;;w
;;;?;;;;;;;;;s;w;c;;;;;;;;w
;x;e;;;;;;;;;e;;;;;t;n;;;;;w
;;;?;;;;;;;;;s;w;;;;;;c;b;;w
;;;?;;;;;;w;;;s;;;;;;;c;b;;w
;;;?;;;;;;;;e;y;w;c;;;;;;;;w
;;;?;;;;;;;t;e;y;w;;;;;;;;;w
;;;?;s;s;;;;;;;y;;;;;n;;;;;w
;;;;s;;;;;;;e;y;;;;;n;;c;;;w
;;;?;s;;;;;;;;;w;;;;n;;c;;;w
;;;;s;;;;;;;e;;w;;;;n;;c;;;w
;;e;?;;;;;;;;e;;;;;;n;;;b;;w
;f;;?;;;;;;;t;e;;w;;;;;;;;;w
;f;;?;;;;;;;;e;;w;c;;;;;;;;w
e;;e;?;;;;w;;;;e;;;;;;n;;;;;w
;;;?;s;s;;w;;;;;;;;;;n;;c;;;w
e;;e;;;;;w;;;;e;;;;;t;n;;;;;w
;;e;?;;;;;;;;;;w;;;;n;;c;b;;w
;;;?;s;s;;;;w;;;;;;;;n;;c;;;w
e;;e;?;;;w;;;;;e;;;;;;n;;;;;w
;;;?;s;s;w;;;;;;;;;;;n;;c;;;w
e;;e;;;;w;;;;;e;;;;;t;n;;;;;w
;;;;s;s;;;;;;e;s;w;;;;;;;b;;w
;;;?;s;s;;;;;;e;s;;;;;;;;b;;w
;k;e;;s;;;;;;;;;w;;;;n;;c;;;w
;;e;;;;;;;w;;e;;w;c;;;n;f;;;;w
;;e;;s;s;;;;;;;;w;c;;;n;;c;;;w
e;;e;;s;s;;;;;;e;;;;;;n;;c;;;w
e;;;;s;s;;;;;;e;;;;;;n;;c;b;;w
;x;e;?;;;;;;;t;;;w;;;t;n;;;;;w
e;;e;?;s;;;;;;;;y;;;;;n;;;b;;w
e;;e;?;s;;;;;;;;;;;;;n;;c;b;w;w
