Attribute 0;Attribute 1;Attribute 10;Attribute 11;Attribute 12;Attribute 13;Attribute 14;Attribute 15;Attribute 16;Attribute 17;Attribute 18;Attribute 19;Attribute 2;Attribute 20;Attribute 21;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Attribute 22
;;;?;s;;;;;;;e;;;;;;n;;;;;w
;;;?;s;;;;;;;;;w;;;;n;;c;;;w
;;;;s;;;;;;;e;;w;;;;n;;c;;;w
;;e;?;;;;;;;;e;;;;;;n;;;b;;w
;;e;?;;;;;;;;;;w;;;;n;;c;b;;w
;;;?;s;s;;;;w;;;;;;;;n;;c;;;w
;;e;;s;s;;;;;;;;w;c;;;n;;c;;;w
;;e;;;;;;;w;;e;;w;c;;;n;f;;;;w
e;;;;s;s;;;;;;e;;;;;;n;;c;b;;w
e;;e;;s;s;;;;;;e;;;;;;n;;c;;;w
e;;e;?;s;;;;;w;;;;;;;;n;;c;b;;w
;;e;;;;;;;;o;;;;c;;;n;;;;;l
;;;;;s;;;;;;;;;;n;f;;;c;b;;l
;;;?;s;;;;;;;;;;;n;f;n;;;;;l
;;;;;;;;;;o;;s;;;n;;;;c;b;;l
;;;;s;;;;;;;;;;;n;f;;;c;b;;l
;;;;;;;;;;o;;;;;n;f;;;c;b;;l
;;;?;;;;;;;o;;s;;;;f;;;;b;;l
;;;;;;;;;;o;;s;;;;f;;;c;b;;l
;;e;;;s;;;;;o;;;;;;;n;;;b;;l
;;e;;;;;;;;o;;;;;;;n;;c;b;;l
;;e;;;s;;;;;o;;;;;;f;;;;b;;l
;;e;;s;;;;;;o;;;;;;f;;;;b;;l
;;;;;;;;;;o;;;;;;f;n;;c;b;;l
;;;;s;;;;;;;p;;;;;f;;;c;b;;l
e;;;;;;;;;;o;;;;;;f;;;c;b;;l
;;;;;s;;;;;o;;;;;;f;;;c;b;;l
;;;;s;;;;;;o;;;;;;f;;;c;b;;l
;;;;s;s;;;;;o;p;;;;;f;;;;b;;l
;;e;?;;;;;;;;;;;;n;f;n;;;b;;l
;;;?;s;;;;;;o;;;;;n;;n;;c;;;l
;;;?;s;s;;;;;o;;;;;;f;n;;;;;l
e;;;;s;;;;;;;p;;;;n;f;;;;b;;l
;;e;;s;s;;;;;o;;;;;n;;;;c;b;;l
;;;?;s;s;;;;;;;s;;;n;f;;;;b;;l
e;;e;?;s;s;;;;;;;s;;;;f;n;;c;b;;l
;;;;;f;;;;;;;;;a;;;;;;;;g
;;;;;;;;;;;;;;a;w;;;;;;;g
;;;;f;;;;;;;;;;a;;;;;;;;g
;f;;;;;;;;;;e;;n;;;;;;;;;g
;;;e;;f;;;;;;;;;s;;;;;;;;g
;;;e;;;;;;;;;;n;;;;;;w;;;g
;;;e;;;;;;;;;f;;;;;;;w;;;g
;;;e;f;;;;;;;;;;s;;;;;;;;g
;;;;;;;;;;t;;f;;;;;;;w;;;g
;;;;;;;;;;t;;;;;g;;;;w;;;g
;;;;;k;;;;;t;;;;;;;;;w;;;g
;;t;;;;;;;;;;;;;;f;;;;b;;g
;;;;k;;;;;;t;;;;;;;;;w;;;g
;;;e;;;;;;;;;;;;n;;;;w;;;g
;;;e;;;;;;;;;s;;;;;;;w;;;g
;;t;;;;;;;;;;;;;g;f;;;;;;g
;;;e;;;;;;;;;;;;g;;;;w;;;g
;;;e;;;;;;;;;;k;;;;;;w;;;g
;;;e;;;;;;;;;;;;;;;;w;;p;g
;;;;;;;w;;;;;;;;;f;;;;b;;g
;;;;;;w;;;;;;;;;;f;;;;b;;g
;f;;;;;;;;;;e;;;;g;;;;;;;g
;f;;e;;;;;;;;e;;;;;;;;;;;g
;f;;;;;;;;;;e;;k;;;;;;;;;g
;;;;s;;;;;;;;f;;;;f;;;;b;;g
;;;;;;;;;;;p;;;s;;;n;;w;;;g
;;;;;s;;;;;;;;;;;f;;;;b;p;g
;f;;;;;;;;;;e;s;;;;;;;w;;;g
;;;;;;;;;;;p;s;;;;;n;;w;;;g
;;;?;;;;;;;;;s;w;;;;;;w;;;g
e;;t;;s;;;;;;;;;;;;f;;;;;;g
;;;;;s;;;;;;;f;;;;f;;;;b;;g
;x;;;;;;;;;;e;;k;;;;n;;;;;g
;x;;;;;;;;;;;;k;;;;n;;w;;;g
;;;;s;;;;;w;;;;;;;f;;;;b;;g
e;;t;;;;;;;;;;;;;;f;n;;;;;g
;;;;;;;;;;;p;;;;g;;n;;w;;;g
e;;t;;;s;;;;;;;;;;;f;;;;;;g
;;;?;;k;;;;;;;;;;;f;;;;b;;g
;x;;e;;;;;;;;e;;;;;;n;;;;;g
;x;;e;;;;;;;;;;;s;;;n;;;;;g
;;t;;f;;w;;;;;;;;;;f;;;;;;g
;;;;s;;;;;;;;;;;;f;;;;b;p;g
e;;t;;;;;;;;;;;;;n;f;;;;;;g
;;;;;;;;;;o;e;s;;;;;;;;b;;g
;;;;;;;;;;;e;s;;;;f;;;;b;;g
;x;;;;;;;;;;;;;;;;n;;w;;p;g
;x;;;;;;;;;;;;;;g;;n;;w;;;g
;x;;e;;;;;;;;;;;;w;;n;;;;;g
;x;;e;;;;;;;;;s;;;;;n;;;;;g
;x;;;;;;;;;;;s;;;;;n;;w;;;g
;f;;;;;;;;;;e;;;s;;;;;w;;;g
;;;;;s;;;;;;;;;;g;f;;;;b;;g
;;;;s;;;;;;;;;;;g;f;;;;b;;g
;x;;;;;;;;;;e;;;;g;;n;;;;;g
;x;;;;;;;;;;;;;s;;;n;;w;;;g
;;;;;s;;;;w;;;;;;;f;;;;b;;g
;x;;;;;;;;;;e;;n;;;;n;;;;;g
;x;;;;;;;;;;;;n;;;;n;;w;;;g
e;;e;;;;;w;;;;;;;;;;n;;w;;;g
