Attribute 0;Attribute 1;Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8
;very_crit;incomplete;;;;;priority;spec_prior
;very_crit;;;critical;;;priority;spec_prior
;very_crit;;;;inconv;;priority;spec_prior
;very_crit;;3;;;;priority;spec_prior
;very_crit;;2;;;;priority;spec_prior
;very_crit;;more;;;;priority;spec_prior
;very_crit;completed;;;;;priority;spec_prior
;very_crit;;;less_conv;;;priority;spec_prior
;very_crit;foster;;;;;priority;spec_prior
great_pret;;;2;critical;;;priority;spec_prior
great_pret;improper;;;;inconv;;priority;spec_prior
;very_crit;foster;;;inconv;;recommended;spec_prior
;very_crit;;;;inconv;problematic;recommended;spec_prior
great_pret;;;3;less_conv;;;priority;spec_prior
;very_crit;;3;;inconv;;recommended;spec_prior
great_pret;;foster;;critical;;;priority;spec_prior
great_pret;;;3;critical;;;priority;spec_prior
great_pret;;foster;;;inconv;;priority;spec_prior
great_pret;;foster;;less_conv;;;priority;spec_prior
;critical;foster;;;inconv;;priority;spec_prior
great_pret;;incomplete;;critical;;;priority;spec_prior
great_pret;;;3;;inconv;;priority;spec_prior
;very_crit;;more;;inconv;;recommended;spec_prior
great_pret;;;more;less_conv;;;priority;spec_prior
great_pret;;;more;critical;;;priority;spec_prior
great_pret;critical;;;;inconv;;priority;spec_prior
great_pret;;;more;;inconv;;priority;spec_prior
pretentious;critical;;;;inconv;;priority;spec_prior
;critical;;3;;inconv;;priority;spec_prior
great_pret;;completed;;critical;;;priority;spec_prior
;critical;;more;;inconv;;priority;spec_prior
pretentious;less_proper;;;;;;priority;priority
pretentious;proper;;;;;;priority;priority
usual;proper;;;;;;priority;priority
usual;improper;;;;;;priority;priority
usual;less_proper;;;;;;priority;priority
;proper;;;convenient;convenient;;priority;priority
;less_proper;;;convenient;convenient;;priority;priority
;;;;;;;not_recom;not_recom
